"Site","Year","Month","Temp"
"Lake Kasumigaura",2009,7,24.97
"Lake Kasumigaura",2009,8,26.63
"Lake Kasumigaura",2009,9,23.92
"Lake Kasumigaura",2009,10,20.8875
"Lake Kasumigaura",2009,11,16.08
"Lake Kasumigaura",2009,12,10.96
"Lake Kasumigaura",2010,1,4.87
"Lake Kasumigaura",2010,2,6.02
"Lake Kasumigaura",2010,3,7.54
"Lake Kasumigaura",2010,4,11.54
"Lake Kasumigaura",2010,5,18.75
"Lake Kasumigaura",2010,6,21.27
"Lake Kasumigaura",2010,7,26.97
"Lake Kasumigaura",2010,8,29.9625
"Lake Kasumigaura",2010,9,29.2333333333333
"Lake Kasumigaura",2010,10,21.37
"Lake Kasumigaura",2010,11,14.3444444444444
"Lake Kasumigaura",2010,12,11.55
"Lake Kasumigaura",2011,1,5.175
"Lake Kasumigaura",2011,2,5.25
"Lake Kasumigaura",2011,3,7.44
"Lake Kasumigaura",2011,4,13.18
"Lake Kasumigaura",2011,5,18.1875
"Lake Kasumigaura",2011,6,20.17
"Lake Kasumigaura",2011,7,26.85
"Lake Kasumigaura",2011,8,28.75
"Lake Kasumigaura",2011,9,26.64
"Lake Kasumigaura",2011,10,20.1
"Lake Kasumigaura",2011,11,17.21
"Lake Kasumigaura",2011,12,10.71
"Lake Kasumigaura",2012,1,4.68
"Lake Kasumigaura",2012,2,3.89
"Lake Kasumigaura",2012,3,6.71
"Lake Kasumigaura",2012,4,12.87
"Lake Kasumigaura",2012,5,19.3
"Lake Kasumigaura",2012,6,21.0333333333333
"Lake Kasumigaura",2012,7,27.48
"Lake Kasumigaura",2012,8,28.86
"Lake Kasumigaura",2012,9,28.45
"Lake Kasumigaura",2012,10,20.5222222222222
"Lake Kasumigaura",2012,11,15.5142857142857
"Lake Kasumigaura",2012,12,6.8375
"Lake Kasumigaura",2013,1,4.74444444444444
"Lake Kasumigaura",2013,2,5.47
"Lake Kasumigaura",2013,3,6.76666666666667
"Lake Kasumigaura",2013,4,14.0666666666667
"Lake Kasumigaura",2013,5,17.4
"Lake Kasumigaura",2013,6,23.1
"Lake Kasumigaura",2013,7,26.8
"Lake Kasumigaura",2013,8,29.725
"Lake Kasumigaura",2013,9,25.76
"Lake Kasumigaura",2013,10,22.5777777777778
"Lake Kasumigaura",2013,11,13.975
"Lake Kasumigaura",2013,12,9.3375
"Lake Kasumigaura",2014,1,5.2875
"Lake Kasumigaura",2014,2,4
"Lake Kasumigaura",2014,3,6.7625
"Lake Kasumigaura",2014,4,13.88
"Lake Kasumigaura",2014,5,17.6777777777778
"Lake Kasumigaura",2014,6,22.34
"Lake Kasumigaura",2014,7,25.1125
"Lake Kasumigaura",2014,8,27.5555555555556
"Lake Kasumigaura",2014,9,23.75
"Lake Kasumigaura",2014,10,20.32
"Lake Kasumigaura",2014,11,15.6111111111111
"Lake Kasumigaura",2014,12,9.23
"Lake Kasumigaura",2015,1,4.72
"Lake Kasumigaura",2015,2,5.13
"Lake Kasumigaura",2015,3,9.65
"Lake Kasumigaura",2015,4,11.8888888888889
"Lake Kasumigaura",2015,5,20.325
"Lake Kasumigaura",2015,6,22.2666666666667
"Lake Kasumigaura",2015,7,23.2555555555556
"Lake Kasumigaura",2015,8,30.1
"Lake Kasumigaura",2015,9,23.73
"Lake Kasumigaura",2015,10,19.2222222222222
"Lake Kasumigaura",2015,11,16.3625
"Lake Kasumigaura",2015,12,9.97777777777778
"Lake Kasumigaura",2016,1,7.1
"Lake Kasumigaura",2016,2,5.68888888888889
"Lake Kasumigaura",2016,3,8.7125
"Lake Kasumigaura",2016,4,13.6625
"Lake Kasumigaura",2016,5,19.85
"Lake Kasumigaura",2016,6,21.6
"Lake Kasumigaura",2016,7,26.4222222222222
"Lake Kasumigaura",2016,8,28.3666666666667
"Lake Kasumigaura",2016,9,27.5888888888889
"Lake Kasumigaura",2016,10,20.9888888888889
"Lake Kasumigaura",2016,11,13.84
"Lake Kasumigaura",2016,12,10.5
"Lake Kasumigaura",2017,1,6.81
"Lake Kasumigaura",2017,2,5.21
"Lake Kasumigaura",2017,3,8.34444444444444
"Lake Kasumigaura",2017,4,NA
"Lake Kasumigaura",2017,5,NA
"Lake Kasumigaura",2017,6,NA
"Lake Kasumigaura",2017,7,NA
"Lake Kasumigaura",2017,8,NA
"Lake Kasumigaura",2017,9,NA
"Lake Kasumigaura",2017,10,NA
"Lake Kasumigaura",2017,11,NA
"Lake Kasumigaura",2017,12,NA
"Lake Kasumigaura",2018,1,NA
"Lake Kasumigaura",2018,2,NA
"Lake Kasumigaura",2018,3,NA
"Lake Mendota (WI)",1976,2,1
"Lake Mendota (WI)",1976,3,NA
"Lake Mendota (WI)",1976,4,6.33333333333333
"Lake Mendota (WI)",1976,5,15.0333333333333
"Lake Mendota (WI)",1976,6,18.8333333333333
"Lake Mendota (WI)",1976,7,22.725
"Lake Mendota (WI)",1976,8,22.25
"Lake Mendota (WI)",1976,9,18.225
"Lake Mendota (WI)",1976,10,14.225
"Lake Mendota (WI)",1976,11,4.5
"Lake Mendota (WI)",1976,12,0.5
"Lake Mendota (WI)",1977,1,NA
"Lake Mendota (WI)",1977,2,0.8
"Lake Mendota (WI)",1977,3,1.06666666666667
"Lake Mendota (WI)",1977,4,4.5
"Lake Mendota (WI)",1977,5,16
"Lake Mendota (WI)",1977,6,18
"Lake Mendota (WI)",1977,7,23.5
"Lake Mendota (WI)",1977,8,NA
"Lake Mendota (WI)",1977,9,19.4285714285714
"Lake Mendota (WI)",1977,10,15.8
"Lake Mendota (WI)",1977,11,NA
"Lake Mendota (WI)",1977,12,NA
"Lake Mendota (WI)",1978,1,0.54
"Lake Mendota (WI)",1978,2,0.466666666666667
"Lake Mendota (WI)",1978,3,0.9
"Lake Mendota (WI)",1978,4,3
"Lake Mendota (WI)",1978,5,13.42
"Lake Mendota (WI)",1978,6,19.6882352941176
"Lake Mendota (WI)",1978,7,22.3875
"Lake Mendota (WI)",1978,8,23.1142857142857
"Lake Mendota (WI)",1978,9,22.6178571428571
"Lake Mendota (WI)",1978,10,13.2555555555556
"Lake Mendota (WI)",1978,11,8.78571428571429
"Lake Mendota (WI)",1978,12,3
"Lake Mendota (WI)",1979,1,NA
"Lake Mendota (WI)",1979,2,0.333333333333333
"Lake Mendota (WI)",1979,3,0.75
"Lake Mendota (WI)",1979,4,3.55
"Lake Mendota (WI)",1979,5,10.5454545454545
"Lake Mendota (WI)",1979,6,18.7818181818182
"Lake Mendota (WI)",1979,7,23.7
"Lake Mendota (WI)",1979,8,22.2625
"Lake Mendota (WI)",1979,9,19.5
"Lake Mendota (WI)",1979,10,14.9444444444444
"Lake Mendota (WI)",1979,11,5.5
"Lake Mendota (WI)",1979,12,3.33333333333333
"Lake Mendota (WI)",1980,1,0.86
"Lake Mendota (WI)",1980,2,1.125
"Lake Mendota (WI)",1980,3,1.25
"Lake Mendota (WI)",1980,4,5
"Lake Mendota (WI)",1980,5,13.2285714285714
"Lake Mendota (WI)",1980,6,18.9846153846154
"Lake Mendota (WI)",1980,7,24.8833333333333
"Lake Mendota (WI)",1980,8,23.44
"Lake Mendota (WI)",1980,9,20.5166666666667
"Lake Mendota (WI)",1980,10,13.6666666666667
"Lake Mendota (WI)",1980,11,7.68571428571429
"Lake Mendota (WI)",1980,12,1.46666666666667
"Lake Mendota (WI)",1981,1,0.85
"Lake Mendota (WI)",1981,2,2.225
"Lake Mendota (WI)",1981,3,5.83333333333333
"Lake Mendota (WI)",1981,4,8.325
"Lake Mendota (WI)",1981,5,12.2333333333333
"Lake Mendota (WI)",1981,6,20.7764705882353
"Lake Mendota (WI)",1981,7,24.5
"Lake Mendota (WI)",1981,8,24.23
"Lake Mendota (WI)",1981,9,20.6230769230769
"Lake Mendota (WI)",1981,10,15.3142857142857
"Lake Mendota (WI)",1981,11,11.5
"Lake Mendota (WI)",1981,12,7.75
"Lake Mendota (WI)",1982,1,NA
"Lake Mendota (WI)",1982,2,NA
"Lake Mendota (WI)",1982,3,1.15
"Lake Mendota (WI)",1982,4,5.5
"Lake Mendota (WI)",1982,5,13.275
"Lake Mendota (WI)",1982,6,17.8333333333333
"Lake Mendota (WI)",1982,7,24.0333333333333
"Lake Mendota (WI)",1982,8,23.9
"Lake Mendota (WI)",1982,9,18.75
"Lake Mendota (WI)",1982,10,14.8
"Lake Mendota (WI)",1982,11,6.3
"Lake Mendota (WI)",1982,12,NA
"Lake Mendota (WI)",1983,1,NA
"Lake Mendota (WI)",1983,2,0.3
"Lake Mendota (WI)",1983,3,NA
"Lake Mendota (WI)",1983,4,4.5
"Lake Mendota (WI)",1983,5,9.76666666666667
"Lake Mendota (WI)",1983,6,18.9333333333333
"Lake Mendota (WI)",1983,7,25.5666666666667
"Lake Mendota (WI)",1983,8,25.5
"Lake Mendota (WI)",1983,9,22
"Lake Mendota (WI)",1983,10,16.5
"Lake Mendota (WI)",1983,11,NA
"Lake Mendota (WI)",1983,12,NA
"Lake Mendota (WI)",1984,1,0.1
"Lake Mendota (WI)",1984,2,NA
"Lake Mendota (WI)",1984,3,NA
"Lake Mendota (WI)",1984,4,6.05
"Lake Mendota (WI)",1984,5,13.0333333333333
"Lake Mendota (WI)",1984,6,19.7333333333333
"Lake Mendota (WI)",1984,7,23.6666666666667
"Lake Mendota (WI)",1984,8,24.375
"Lake Mendota (WI)",1984,9,20.9
"Lake Mendota (WI)",1984,10,16.3
"Lake Mendota (WI)",1984,11,9.95
"Lake Mendota (WI)",1984,12,NA
"Lake Mendota (WI)",1985,1,0.1
"Lake Mendota (WI)",1985,2,NA
"Lake Mendota (WI)",1985,3,NA
"Lake Mendota (WI)",1985,4,6.2
"Lake Mendota (WI)",1985,5,13.95
"Lake Mendota (WI)",1985,6,18.3
"Lake Mendota (WI)",1985,7,24.06
"Lake Mendota (WI)",1985,8,21.84
"Lake Mendota (WI)",1985,9,19.8
"Lake Mendota (WI)",1985,10,13.8
"Lake Mendota (WI)",1985,11,6
"Lake Mendota (WI)",1985,12,0.7
"Lake Mendota (WI)",1986,1,0.2
"Lake Mendota (WI)",1986,2,NA
"Lake Mendota (WI)",1986,3,0.75
"Lake Mendota (WI)",1986,4,5.1
"Lake Mendota (WI)",1986,5,12.4666666666667
"Lake Mendota (WI)",1986,6,18.025
"Lake Mendota (WI)",1986,7,24.0166666666667
"Lake Mendota (WI)",1986,8,22.075
"Lake Mendota (WI)",1986,9,18
"Lake Mendota (WI)",1986,10,13.9
"Lake Mendota (WI)",1986,11,9.8
"Lake Mendota (WI)",1986,12,2.5
"Lake Mendota (WI)",1987,1,0.75
"Lake Mendota (WI)",1987,2,2.15
"Lake Mendota (WI)",1987,3,3.6
"Lake Mendota (WI)",1987,4,7.125
"Lake Mendota (WI)",1987,5,14.3727272727273
"Lake Mendota (WI)",1987,6,23.4285714285714
"Lake Mendota (WI)",1987,7,25.02
"Lake Mendota (WI)",1987,8,24.1083333333333
"Lake Mendota (WI)",1987,9,19.5875
"Lake Mendota (WI)",1987,10,14.1
"Lake Mendota (WI)",1987,11,7.125
"Lake Mendota (WI)",1987,12,2.5
"Lake Mendota (WI)",1988,1,NA
"Lake Mendota (WI)",1988,2,NA
"Lake Mendota (WI)",1988,3,NA
"Lake Mendota (WI)",1988,4,6.42
"Lake Mendota (WI)",1988,5,14.025
"Lake Mendota (WI)",1988,6,21.7833333333333
"Lake Mendota (WI)",1988,7,24.92
"Lake Mendota (WI)",1988,8,26.1
"Lake Mendota (WI)",1988,9,18.84
"Lake Mendota (WI)",1988,10,11.1
"Lake Mendota (WI)",1988,11,6.65
"Lake Mendota (WI)",1988,12,3.8
"Lake Mendota (WI)",1989,1,0.633333333333333
"Lake Mendota (WI)",1989,2,NA
"Lake Mendota (WI)",1989,3,NA
"Lake Mendota (WI)",1989,4,6.20555555555556
"Lake Mendota (WI)",1989,5,13.8521739130435
"Lake Mendota (WI)",1989,6,20.4833333333333
"Lake Mendota (WI)",1989,7,24.9904761904762
"Lake Mendota (WI)",1989,8,23.2166666666667
"Lake Mendota (WI)",1989,9,19.9941176470588
"Lake Mendota (WI)",1989,10,12.9
"Lake Mendota (WI)",1989,11,9.25555555555556
"Lake Mendota (WI)",1989,12,2.5
"Lake Mendota (WI)",1990,1,0.65
"Lake Mendota (WI)",1990,2,1.46666666666667
"Lake Mendota (WI)",1990,3,5.9
"Lake Mendota (WI)",1990,4,7.5
"Lake Mendota (WI)",1990,5,14.0756756756757
"Lake Mendota (WI)",1990,6,19.6666666666667
"Lake Mendota (WI)",1990,7,23.9450980392157
"Lake Mendota (WI)",1990,8,23.4148148148148
"Lake Mendota (WI)",1990,9,21.6555555555556
"Lake Mendota (WI)",1990,10,13.5333333333333
"Lake Mendota (WI)",1990,11,8.38333333333333
"Lake Mendota (WI)",1990,12,NA
"Lake Mendota (WI)",1991,1,0.4
"Lake Mendota (WI)",1991,2,1.26666666666667
"Lake Mendota (WI)",1991,3,2.82
"Lake Mendota (WI)",1991,4,6.47
"Lake Mendota (WI)",1991,5,14.7333333333333
"Lake Mendota (WI)",1991,6,23.1916666666667
"Lake Mendota (WI)",1991,7,24.7533333333333
"Lake Mendota (WI)",1991,8,24.0833333333333
"Lake Mendota (WI)",1991,9,19
"Lake Mendota (WI)",1991,10,12.4833333333333
"Lake Mendota (WI)",1991,11,5.8
"Lake Mendota (WI)",1991,12,3.1
"Lake Mendota (WI)",1992,1,1.15
"Lake Mendota (WI)",1992,2,2.25
"Lake Mendota (WI)",1992,3,3.7
"Lake Mendota (WI)",1992,4,5.53333333333333
"Lake Mendota (WI)",1992,5,12.8
"Lake Mendota (WI)",1992,6,19.2351851851852
"Lake Mendota (WI)",1992,7,20.9583333333333
"Lake Mendota (WI)",1992,8,21.9210526315789
"Lake Mendota (WI)",1992,9,18.1111111111111
"Lake Mendota (WI)",1992,10,14.6933333333333
"Lake Mendota (WI)",1992,11,7.35
"Lake Mendota (WI)",1992,12,2.9
"Lake Mendota (WI)",1993,1,0.75
"Lake Mendota (WI)",1993,2,1.85
"Lake Mendota (WI)",1993,3,NA
"Lake Mendota (WI)",1993,4,5.9
"Lake Mendota (WI)",1993,5,13.6181818181818
"Lake Mendota (WI)",1993,6,18.1666666666667
"Lake Mendota (WI)",1993,7,22.75
"Lake Mendota (WI)",1993,8,24.27
"Lake Mendota (WI)",1993,9,18.5473684210526
"Lake Mendota (WI)",1993,10,12.975
"Lake Mendota (WI)",1993,11,7.93333333333333
"Lake Mendota (WI)",1993,12,3.8
"Lake Mendota (WI)",1994,1,0.75
"Lake Mendota (WI)",1994,2,NA
"Lake Mendota (WI)",1994,3,1.4
"Lake Mendota (WI)",1994,4,6.79166666666667
"Lake Mendota (WI)",1994,5,13.6666666666667
"Lake Mendota (WI)",1994,6,22.2611111111111
"Lake Mendota (WI)",1994,7,22.9291666666667
"Lake Mendota (WI)",1994,8,22.0555555555556
"Lake Mendota (WI)",1994,9,20.5625
"Lake Mendota (WI)",1994,10,NA
"Lake Mendota (WI)",1994,11,NA
"Lake Mendota (WI)",1994,12,NA
"Lake Mendota (WI)",1995,1,NA
"Lake Mendota (WI)",1995,2,NA
"Lake Mendota (WI)",1995,3,NA
"Lake Mendota (WI)",1995,4,NA
"Lake Mendota (WI)",1995,5,10.9
"Lake Mendota (WI)",1995,6,22.7666666666667
"Lake Mendota (WI)",1995,7,23.25
"Lake Mendota (WI)",1995,8,25.9111111111111
"Lake Mendota (WI)",1995,9,18.4833333333333
"Lake Mendota (WI)",1995,10,13.3333333333333
"Lake Mendota (WI)",1995,11,7.4
"Lake Mendota (WI)",1995,12,2.3
"Lake Mendota (WI)",1996,1,NA
"Lake Mendota (WI)",1996,2,NA
"Lake Mendota (WI)",1996,3,NA
"Lake Mendota (WI)",1996,4,4.26666666666667
"Lake Mendota (WI)",1996,5,9.33333333333333
"Lake Mendota (WI)",1996,6,17.8166666666667
"Lake Mendota (WI)",1996,7,23.4833333333333
"Lake Mendota (WI)",1996,8,22.8666666666667
"Lake Mendota (WI)",1996,9,22.0833333333333
"Lake Mendota (WI)",1996,10,14.5
"Lake Mendota (WI)",1996,11,6.61666666666667
"Lake Mendota (WI)",1996,12,NA
"Lake Mendota (WI)",1997,1,0.366666666666667
"Lake Mendota (WI)",1997,2,0.633333333333333
"Lake Mendota (WI)",1997,3,NA
"Lake Mendota (WI)",1997,4,4.71666666666667
"Lake Mendota (WI)",1997,5,10.0888888888889
"Lake Mendota (WI)",1997,6,20.0166666666667
"Lake Mendota (WI)",1997,7,22.3333333333333
"Lake Mendota (WI)",1997,8,22.65
"Lake Mendota (WI)",1997,9,22.1
"Lake Mendota (WI)",1997,10,14.4166666666667
"Lake Mendota (WI)",1997,11,4.8
"Lake Mendota (WI)",1997,12,NA
"Lake Mendota (WI)",1998,1,NA
"Lake Mendota (WI)",1998,2,0.533333333333333
"Lake Mendota (WI)",1998,3,1.41666666666667
"Lake Mendota (WI)",1998,4,8.41666666666667
"Lake Mendota (WI)",1998,5,16.1166666666667
"Lake Mendota (WI)",1998,6,19.6666666666667
"Lake Mendota (WI)",1998,7,24
"Lake Mendota (WI)",1998,8,23.9166666666667
"Lake Mendota (WI)",1998,9,21.4833333333333
"Lake Mendota (WI)",1998,10,13.6333333333333
"Lake Mendota (WI)",1998,11,7.13333333333333
"Lake Mendota (WI)",1998,12,NA
"Lake Mendota (WI)",1999,1,1.03333333333333
"Lake Mendota (WI)",1999,2,2.76666666666667
"Lake Mendota (WI)",1999,3,4
"Lake Mendota (WI)",1999,4,8.21666666666667
"Lake Mendota (WI)",1999,5,13.2
"Lake Mendota (WI)",1999,6,20.3
"Lake Mendota (WI)",1999,7,24.55
"Lake Mendota (WI)",1999,8,23.7222222222222
"Lake Mendota (WI)",1999,9,17.9
"Lake Mendota (WI)",1999,10,13.0166666666667
"Lake Mendota (WI)",1999,11,9.36666666666667
"Lake Mendota (WI)",1999,12,NA
"Lake Mendota (WI)",2000,1,0.533333333333333
"Lake Mendota (WI)",2000,2,1.26666666666667
"Lake Mendota (WI)",2000,3,3.63333333333333
"Lake Mendota (WI)",2000,4,6.51666666666667
"Lake Mendota (WI)",2000,5,15.25
"Lake Mendota (WI)",2000,6,17.5
"Lake Mendota (WI)",2000,7,23.25
"Lake Mendota (WI)",2000,8,23.4
"Lake Mendota (WI)",2000,9,17.3666666666667
"Lake Mendota (WI)",2000,10,14.5
"Lake Mendota (WI)",2000,11,5.7
"Lake Mendota (WI)",2000,12,NA
"Lake Mendota (WI)",2001,1,0.7
"Lake Mendota (WI)",2001,2,NA
"Lake Mendota (WI)",2001,3,1.73333333333333
"Lake Mendota (WI)",2001,4,5.91666666666667
"Lake Mendota (WI)",2001,5,15.0833333333333
"Lake Mendota (WI)",2001,6,17.0666666666667
"Lake Mendota (WI)",2001,7,24.4222222222222
"Lake Mendota (WI)",2001,8,24.3666666666667
"Lake Mendota (WI)",2001,9,16.5666666666667
"Lake Mendota (WI)",2001,10,13.0666666666667
"Lake Mendota (WI)",2001,11,9.53333333333333
"Lake Mendota (WI)",2001,12,NA
"Lake Mendota (WI)",2002,1,NA
"Lake Mendota (WI)",2002,2,NA
"Lake Mendota (WI)",2002,3,1.46666666666667
"Lake Mendota (WI)",2002,4,5.51666666666667
"Lake Mendota (WI)",2002,5,11.0833333333333
"Lake Mendota (WI)",2002,6,17.0833333333333
"Lake Mendota (WI)",2002,7,25.6666666666667
"Lake Mendota (WI)",2002,8,24.3333333333333
"Lake Mendota (WI)",2002,9,20.4
"Lake Mendota (WI)",2002,10,12.5333333333333
"Lake Mendota (WI)",2002,11,7.33333333333333
"Lake Mendota (WI)",2002,12,NA
"Lake Mendota (WI)",2003,1,0.266666666666667
"Lake Mendota (WI)",2003,2,NA
"Lake Mendota (WI)",2003,3,NA
"Lake Mendota (WI)",2003,4,5.4
"Lake Mendota (WI)",2003,5,13.45
"Lake Mendota (WI)",2003,6,19.95
"Lake Mendota (WI)",2003,7,23.9
"Lake Mendota (WI)",2003,8,24.9333333333333
"Lake Mendota (WI)",2003,9,19.9166666666667
"Lake Mendota (WI)",2003,10,12.7666666666667
"Lake Mendota (WI)",2003,11,6.7
"Lake Mendota (WI)",2003,12,NA
"Lake Mendota (WI)",2004,1,NA
"Lake Mendota (WI)",2004,2,0.766666666666667
"Lake Mendota (WI)",2004,3,3.5
"Lake Mendota (WI)",2004,4,7.55
"Lake Mendota (WI)",2004,5,14.0666666666667
"Lake Mendota (WI)",2004,6,19.8833333333333
"Lake Mendota (WI)",2004,7,22.45
"Lake Mendota (WI)",2004,8,22.1
"Lake Mendota (WI)",2004,9,21.9
"Lake Mendota (WI)",2004,10,16.8
"Lake Mendota (WI)",2004,11,12.3
"Lake Mendota (WI)",2004,12,NA
"Lake Mendota (WI)",2005,1,0.733333333333333
"Lake Mendota (WI)",2005,2,NA
"Lake Mendota (WI)",2005,3,NA
"Lake Mendota (WI)",2005,4,7.61666666666667
"Lake Mendota (WI)",2005,5,11.75
"Lake Mendota (WI)",2005,6,20.6
"Lake Mendota (WI)",2005,7,24.75
"Lake Mendota (WI)",2005,8,24.4777777777778
"Lake Mendota (WI)",2005,9,20.8
"Lake Mendota (WI)",2005,10,NA
"Lake Mendota (WI)",2005,11,9.01666666666667
"Lake Mendota (WI)",2005,12,NA
"Lake Mendota (WI)",2006,1,NA
"Lake Mendota (WI)",2006,2,NA
"Lake Mendota (WI)",2006,3,1.2
"Lake Mendota (WI)",2006,4,5.08333333333333
"Lake Mendota (WI)",2006,5,13.4555555555556
"Lake Mendota (WI)",2006,6,21.56315
"Lake Mendota (WI)",2006,7,24.1421302083333
"Lake Mendota (WI)",2006,8,24.6431083333333
"Lake Mendota (WI)",2006,9,21.37352
"Lake Mendota (WI)",2006,10,13.9633568627451
"Lake Mendota (WI)",2006,11,6.8
"Lake Mendota (WI)",2006,12,NA
"Lake Mendota (WI)",2007,1,2.2
"Lake Mendota (WI)",2007,2,0.5
"Lake Mendota (WI)",2007,3,NA
"Lake Mendota (WI)",2007,4,5.62222222222222
"Lake Mendota (WI)",2007,5,16.0948095238095
"Lake Mendota (WI)",2007,6,22.2108333333333
"Lake Mendota (WI)",2007,7,24.7104408602151
"Lake Mendota (WI)",2007,8,24.3381290322581
"Lake Mendota (WI)",2007,9,22.6446547619048
"Lake Mendota (WI)",2007,10,17.4960555555556
"Lake Mendota (WI)",2007,11,7.1
"Lake Mendota (WI)",2007,12,NA
"Lake Mendota (WI)",2008,1,NA
"Lake Mendota (WI)",2008,2,NA
"Lake Mendota (WI)",2008,3,NA
"Lake Mendota (WI)",2008,4,NA
"Lake Mendota (WI)",2008,5,NA
"Lake Mendota (WI)",2008,6,22.458
"Lake Mendota (WI)",2008,7,23.678
"Lake Mendota (WI)",2008,8,24.0967857142857
"Lake Mendota (WI)",2008,9,20.920962962963
"Lake Mendota (WI)",2008,10,15.2398266666667
"Lake Mendota (WI)",2008,11,9.35013333333333
"Lake Mendota (WI)",2008,12,NA
"Lake Mendota (WI)",2009,1,NA
"Lake Mendota (WI)",2009,2,NA
"Lake Mendota (WI)",2009,3,NA
"Lake Mendota (WI)",2009,4,7.10726153846154
"Lake Mendota (WI)",2009,5,12.3347
"Lake Mendota (WI)",2009,6,20.5800666666667
"Lake Mendota (WI)",2009,7,19.6816891891892
"Lake Mendota (WI)",2009,8,22.5211096774194
"Lake Mendota (WI)",2009,9,21.1529533333333
"Lake Mendota (WI)",2009,10,13.1192451612903
"Lake Mendota (WI)",2009,11,9.62304347826087
"Lake Mendota (WI)",2009,12,NA
"Lake Mendota (WI)",2010,1,NA
"Lake Mendota (WI)",2010,2,NA
"Lake Mendota (WI)",2010,3,NA
"Lake Mendota (WI)",2010,4,9.13151578947368
"Lake Mendota (WI)",2010,5,14.7827666666667
"Lake Mendota (WI)",2010,6,21.7840344827586
"Lake Mendota (WI)",2010,7,25.3483225806452
"Lake Mendota (WI)",2010,8,25.3064451612903
"Lake Mendota (WI)",2010,9,19.84576
"Lake Mendota (WI)",2010,10,15.1573230769231
"Lake Mendota (WI)",2010,11,8.10256666666667
"Lake Mendota (WI)",2010,12,-0.7184
"Lake Mendota (WI)",2011,1,NA
"Lake Mendota (WI)",2011,2,NA
"Lake Mendota (WI)",2011,3,NA
"Lake Mendota (WI)",2011,4,NA
"Lake Mendota (WI)",2011,5,13.4796333333333
"Lake Mendota (WI)",2011,6,19.4501733333333
"Lake Mendota (WI)",2011,7,25.9467096774194
"Lake Mendota (WI)",2011,8,24.2131161290323
"Lake Mendota (WI)",2011,9,20.13756
"Lake Mendota (WI)",2011,10,14.6276387096774
"Lake Mendota (WI)",2011,11,10.9262222222222
"Lake Mendota (WI)",2011,12,NA
"Lake Mendota (WI)",2012,1,NA
"Lake Mendota (WI)",2012,2,NA
"Lake Mendota (WI)",2012,3,NA
"Lake Mendota (WI)",2012,4,10.496
"Lake Mendota (WI)",2012,5,15.437
"Lake Mendota (WI)",2012,6,21.2951307692308
"Lake Mendota (WI)",2012,7,27.0906074074074
"Lake Mendota (WI)",2012,8,24.3549483870968
"Lake Mendota (WI)",2012,9,19.8392142857143
"Lake Mendota (WI)",2012,10,13.3786967741935
"Lake Mendota (WI)",2012,11,8.31846666666667
"Lake Mendota (WI)",2012,12,NA
"Lake Mendota (WI)",2013,1,NA
"Lake Mendota (WI)",2013,2,NA
"Lake Mendota (WI)",2013,3,NA
"Lake Mendota (WI)",2013,4,6.00245
"Lake Mendota (WI)",2013,5,11.6935161290323
"Lake Mendota (WI)",2013,6,20.0937666666667
"Lake Mendota (WI)",2013,7,24.6242466666667
"Lake Mendota (WI)",2013,8,23.4299225806452
"Lake Mendota (WI)",2013,9,21.5734866666667
"Lake Mendota (WI)",2013,10,15.9646074074074
"Lake Mendota (WI)",2013,11,NA
"Lake Mendota (WI)",2013,12,NA
"Lake Mendota (WI)",2014,1,NA
"Lake Mendota (WI)",2014,2,NA
"Lake Mendota (WI)",2014,3,NA
"Lake Mendota (WI)",2014,4,NA
"Lake Mendota (WI)",2014,5,12.2512307692308
"Lake Mendota (WI)",2014,6,22.5437113402062
"Lake Mendota (WI)",2014,7,23.0190753424658
"Lake Mendota (WI)",2014,8,23.3515290322581
"Lake Mendota (WI)",2014,9,19.6182167832168
"Lake Mendota (WI)",2014,10,15.7036538461538
"Lake Mendota (WI)",2014,11,NA
"Lake Mendota (WI)",2014,12,NA
"Lake Mendota (WI)",2015,1,NA
"Lake Mendota (WI)",2015,2,NA
"Lake Mendota (WI)",2015,3,NA
"Lake Mendota (WI)",2015,4,NA
"Lake Mendota (WI)",2015,5,NA
"Lake Mendota (WI)",2015,6,22.5221666666667
"Lake Mendota (WI)",2015,7,24.0186709677419
"Lake Mendota (WI)",2015,8,24.098864516129
"Lake Mendota (WI)",2015,9,22.371
"Lake Mendota (WI)",2015,10,NA
"Lake Mendota (WI)",2015,11,NA
"Lake Mendota (WI)",2015,12,NA
"Lake Mendota (WI)",2016,1,NA
"Lake Mendota (WI)",2016,2,NA
"Lake Mendota (WI)",2016,3,4.95546666666667
"Lake Mendota (WI)",2016,4,7.31898
"Lake Mendota (WI)",2016,5,13.7331096774194
"Lake Mendota (WI)",2016,6,22.5014266666667
"Lake Mendota (WI)",2016,7,25.2028709677419
"Lake Mendota (WI)",2016,8,25.6646
"Lake Mendota (WI)",2016,9,22.2624466666667
"Lake Mendota (WI)",2016,10,16.4266516129032
"Lake Mendota (WI)",2016,11,11.7124733333333
"Lake Mendota (WI)",2016,12,7.73696666666667
"Lake Mendota (WI)",2017,1,NA
"Lake Mendota (WI)",2017,2,NA
"Lake Mendota (WI)",2017,3,NA
"Lake Mendota (WI)",2017,4,10.0806
"Lake Mendota (WI)",2017,5,12.9675266666667
"Lake Mendota (WI)",2017,6,20.94838
"Lake Mendota (WI)",2017,7,24.2499612903226
